Lambda: 5.0	Ts: 0.15	Simulation Time: 1000.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.4342	0.3568	66.1418	66.6438	0.502	0.1452	2	0	5
0.4342	0.1166	66.1493	66.7604	0.6111	0.4945	3	2	4
0.4342	0.0967	66.2266	66.8572	0.6305	0.5338	3	2	3
0.4342	0.04	66.5087	66.8972	0.3884	0.3484	1	1	2
0.1151	0.1353	66.5798	67.0325	0.4527	0.3173	2	1	2
0.7705	0.1737	67.014	67.2062	0.1921	0.0184	0	0	2
0.7705	0.0854	67.1292	67.2916	0.1624	0.0769	0	0	1
0.0091	0.0041	67.8998	67.9039	0.0041	0.0	0	0	1
0.2488	0.1977	67.9089	68.1066	0.1977	0.0	0	0	3
0.2488	0.066	68.0424	68.1727	0.1303	0.0642	0	0	2
0.2488	0.0071	68.0483	68.1798	0.1315	0.1244	0	0	1
0.1975	0.0518	68.2972	68.349	0.0518	0.0	0	0	1
0.2726	0.2152	68.4947	68.71	0.2152	0.0	1	0	2
0.0763	0.1936	68.6305	68.9036	0.2731	0.0794	1	0	2
0.0763	0.0081	68.9031	68.9118	0.0086	5.0E-4	0	0	1
0.1132	0.099	68.9795	69.0785	0.099	0.0	0	0	1
0.5723	0.2178	69.0927	69.3106	0.2178	0.0	1	0	2
0.5723	0.2616	69.1253	69.5722	0.4469	0.1852	2	0	1
0.4843	0.5693	69.6976	70.267	0.5693	0.0	2	0	2
0.6727	0.6241	69.8913	70.8911	0.9998	0.3756	4	1	2
0.6727	0.0234	70.3757	70.9146	0.5388	0.5154	2	2	1
1.0033	0.2495	71.0484	71.2979	0.2495	0.0	1	0	2
1.0033	0.313	71.1343	71.611	0.4767	0.1636	2	0	1
0.0225	0.0073	72.1377	72.145	0.0073	0.0	0	0	1
0.0951	0.047	72.1602	72.2073	0.047	0.0	0	0	1
0.6202	0.0873	72.2554	72.3427	0.0873	0.0	0	0	1
0.2336	0.1692	72.8757	73.0449	0.1692	0.0	0	0	1
0.4463	0.1749	73.1093	73.2843	0.1749	0.0	0	0	1
0.1426	0.0387	73.5557	73.5945	0.0387	0.0	0	0	1
0.0706	0.1392	73.6984	73.8376	0.1392	0.0	0	0	3
0.5143	0.0713	73.7078	73.909	0.2011	0.1298	1	0	3
0.5143	0.1729	73.8267	74.0819	0.2551	0.0822	1	0	2
0.5143	0.0487	73.8974	74.1306	0.2332	0.1844	1	0	1
0.4779	0.0813	74.4118	74.4931	0.0813	0.0	0	0	1
0.1193	0.0816	74.8897	74.9713	0.0816	0.0	0	0	2
0.1193	0.0404	74.9401	75.0118	0.0716	0.0312	0	0	1
0.039	0.0063	75.0595	75.0658	0.0063	0.0	0	0	1
0.0353	0.076	75.0986	75.1746	0.076	0.0	0	0	3
0.3155	0.0458	75.1424	75.2205	0.078	0.0322	0	0	3
0.3155	0.0528	75.1706	75.2733	0.1026	0.0498	0	0	2
0.3155	0.0555	75.206	75.3289	0.1228	0.0673	0	0	1
0.2057	0.1399	75.5216	75.6616	0.1399	0.0	0	0	1
0.3258	0.2013	75.7273	75.9287	0.2013	0.0	1	0	1
0.1245	0.108	76.0532	76.1612	0.108	0.0	0	0	1
0.122	0.0454	76.1777	76.2232	0.0454	0.0	0	0	1
0.2795	0.3201	76.2997	76.6199	0.3201	0.0	1	0	3
0.2837	0.1696	76.324	76.7895	0.4655	0.2958	2	1	3
0.2523	0.1449	76.3631	76.9344	0.5713	0.4264	2	2	3
0.2523	0.065	76.6427	76.9995	0.3568	0.2917	1	1	2
0.2523	0.0799	76.9264	77.0794	0.1529	0.073	0	0	1
0.7128	0.0151	77.1787	77.1938	0.0151	0.0	0	0	2
0.7128	0.2732	77.1806	77.4671	0.2864	0.0132	1	0	1
0.2602	0.2016	77.8935	78.0952	0.2016	0.0	1	0	2
0.2602	0.0831	77.9518	78.1783	0.2265	0.1434	1	0	1
0.2365	0.1322	78.212	78.3442	0.1322	0.0	0	0	1
0.1545	0.0779	78.4485	78.5265	0.0779	0.0	0	0	1
0.7386	0.0763	78.6031	78.6795	0.0763	0.0	0	0	1
0.1463	0.0126	79.3417	79.3544	0.0126	0.0	0	0	1
0.6179	5.0E-4	79.4881	79.4886	5.0E-4	0.0	0	0	1
0.3571	0.2268	80.1061	80.3329	0.2268	0.0	1	0	2
0.3571	0.0387	80.2124	80.3717	0.1592	0.1204	0	0	1
0.0726	0.0137	80.5695	80.5833	0.0137	0.0	0	0	1
0.2623	0.078	80.6421	80.7202	0.078	0.0	0	0	2
