Time 	Number in Queue
146.8999		2
146.9999		2
147.0999		1
147.1999		2
147.2999		0
147.3999		0
147.4999		0
147.5999		0
147.6999		0
147.7999		0
147.8999		1
147.9999		0
148.0999		0
148.1999		0
148.2999		1
148.3999		0
148.4999		0
148.5999		0
148.6999		1
148.7999		0
148.8999		0
148.9999		0
149.0999		0
149.1999		1
149.2999		0
149.3999		0
149.4999		0
149.5999		0
149.6999		0
149.7999		1
149.8999		1
149.9999		2
150.0999		3
150.1999		3
150.2999		3
150.3999		2
150.4999		3
150.5999		3
150.6999		3
150.7999		2
150.8999		2
150.9999		0
151.0999		1
151.1999		0
151.2999		0
151.3999		0
151.4999		0
151.5999		0
151.6999		0
151.7999		0
151.8999		1
151.9999		1
152.0999		1
152.1999		1
152.2999		0
152.3999		0
152.4999		0
152.5999		1
152.6999		1
152.7999		3
152.8999		3
152.9999		3
153.0999		4
153.1999		5
153.2999		6
153.3999		5
153.4999		5
153.5999		6
153.6999		6
153.7999		3
153.8999		3
153.9999		4
154.0999		4
154.1999		3
154.2999		1
154.3999		1
154.4999		1
154.5999		1
154.6999		3
154.7999		3
154.8999		2
154.9999		1
155.0999		0
155.1999		1
155.2999		0
155.3999		0
155.4999		0
155.5999		0
155.6999		4
155.7999		4
155.8999		6
155.9999		6
156.0999		5
156.1999		4
156.2999		4
156.3999		3
156.4999		2
156.5999		2
156.6999		2
156.7999		2
156.8999		3
156.9999		3
157.0999		3
157.1999		5
157.2999		4
157.3999		5
157.4999		5
157.5999		4
157.6999		4
157.7999		4
157.8999		4
157.9999		4
158.0999		4
158.1999		5
158.2999		4
158.3999		3
158.4999		7
158.5999		8
158.6999		7
158.7999		7
158.8999		6
158.9999		5
159.0999		3
159.1999		3
159.2999		0
159.3999		0
159.4999		1
159.5999		2
159.6999		2
159.7999		2
159.8999		2
159.9999		1
160.0999		1
160.1999		3
160.2999		5
160.3999		4
160.4999		5
160.5999		4
160.6999		3
160.7999		3
160.8999		4
160.9999		4
161.0999		4
161.1999		3
161.2999		4
161.3999		4
161.4999		3
161.5999		2
161.6999		2
161.7999		2
161.8999		3
161.9999		4
162.0999		4
162.1999		4
162.2999		6
162.3999		5
162.4999		5
162.5999		6
162.6999		6
162.7999		6
162.8999		5
162.9999		5
163.0999		4
163.1999		3
163.2999		3
163.3999		3
163.4999		1
163.5999		0
163.6999		0
163.7999		0
163.8999		0
163.9999		1
164.0999		2
164.1999		3
164.2999		3
164.3999		2
164.4999		3
164.5999		2
164.6999		3
164.7999		2
164.8999		0
164.9999		1
165.0999		0
165.1999		0
165.2999		1
165.3999		3
165.4999		2
165.5999		2
165.6999		4
165.7999		6
165.8999		7
165.9999		8
166.0999		9
166.1999		9
166.2999		9
166.3999		10
166.4999		11
166.5999		10
166.6999		9
166.7999		8
166.8999		9
166.9999		10
167.0999		10
167.1999		7
167.2999		6
167.3999		5
167.4999		5
167.5999		5
167.6999		5
167.7999		6
167.8999		7
167.9999		5
168.0999		5
168.1999		5
168.2999		3
168.3999		4
168.4999		1
168.5999		0
168.6999		0
168.7999		0
168.8999		0
168.9999		0
169.0999		1
169.1999		3
169.2999		2
169.3999		1
169.4999		1
169.5999		0
169.6999		0
169.7999		2
169.8999		2
169.9999		1
170.0999		3
170.1999		3
170.2999		3
170.3999		0
170.4999		0
170.5999		0
170.6999		2
170.7999		2
170.8999		1
170.9999		1
171.0999		0
171.1999		0
171.2999		2
171.3999		1
171.4999		1
171.5999		1
171.6999		0
171.7999		1
171.8999		2
171.9999		1
172.0999		1
172.1999		2
172.2999		2
172.3999		0
172.4999		1
172.5999		0
172.6999		0
172.7999		2
172.8999		2
172.9999		3
173.0999		5
173.1999		5
173.2999		5
173.3999		7
173.4999		7
173.5999		6
173.6999		4
173.7999		5
173.8999		3
173.9999		4
174.0999		5
174.1999		5
174.2999		6
174.3999		6
174.4999		6
174.5999		7
174.6999		8
174.7999		7
174.8999		4
174.9999		6
175.0999		6
175.1999		6
175.2999		5
175.3999		4
175.4999		4
175.5999		3
175.6999		3
175.7999		5
175.8999		6
175.9999		4
176.0999		4
176.1999		4
176.2999		5
176.3999		3
176.4999		0
176.5999		1
176.6999		0
176.7999		1
176.8999		2
176.9999		1
177.0999		3
177.1999		2
177.2999		0
177.3999		0
177.4999		0
177.5999		0
177.6999		0
177.7999		0
177.8999		1
177.9999		1
178.0999		2
178.1999		1
178.2999		1
178.3999		1
178.4999		2
178.5999		0
178.6999		0
178.7999		0
178.8999		0
178.9999		0
179.0999		0
179.1999		0
179.2999		0
179.3999		0
179.4999		0
179.5999		0
179.6999		0
179.7999		0
179.8999		0
179.9999		0
180.0999		0
180.1999		0
180.2999		0
180.3999		1
180.4999		1
180.5999		0
180.6999		0
180.7999		1
180.8999		0
180.9999		0
181.0999		0
181.1999		2
181.2999		3
181.3999		2
181.4999		0
181.5999		0
181.6999		1
181.7999		0
181.8999		0
181.9999		1
182.0999		0
182.1999		0
182.2999		0
182.3999		0
182.4999		0
182.5999		2
182.6999		0
182.7999		0
182.8999		0
182.9999		0
183.0999		0
183.1999		0
183.2999		0
183.3999		0
183.4999		0
183.5999		0
183.6999		1
183.7999		1
183.8999		0
183.9999		0
184.0999		0
184.1999		0
184.2999		0
184.3999		0
184.4999		1
184.5999		1
184.6999		0
184.7999		0
184.8999		0
184.9999		0
185.0999		1
185.1999		0
185.2999		0
185.3999		0
185.4999		0
185.5999		0
185.6999		0
185.7999		1
185.8999		1
185.9999		1
186.0999		0
186.1999		0
186.2999		2
186.3999		1
186.4999		3
186.5999		3
186.6999		2
186.7999		1
186.8999		0
186.9999		0
187.0999		0
187.1999		2
187.2999		2
187.3999		1
187.4999		1
187.5999		0
187.6999		0
187.7999		1
187.8999		2
187.9999		3
188.0999		2
188.1999		2
188.2999		0
188.3999		0
188.4999		0
188.5999		1
188.6999		1
188.7999		0
188.8999		0
188.9999		0
189.0999		1
189.1999		1
189.2999		3
189.3999		3
189.4999		1
189.5999		1
189.6999		2
189.7999		2
189.8999		1
189.9999		0
190.0999		0
190.1999		0
190.2999		0
190.3999		0
190.4999		1
190.5999		0
190.6999		0
190.7999		0
190.8999		0
190.9999		0
191.0999		0
191.1999		1
191.2999		1
191.3999		1
191.4999		1
191.5999		1
191.6999		1
191.7999		2
191.8999		1
191.9999		2
192.0999		2
192.1999		2
192.2999		2
192.3999		1
192.4999		2
192.5999		1
192.6999		1
192.7999		1
192.8999		1
192.9999		0
193.0999		0
193.1999		1
193.2999		1
193.3999		1
193.4999		1
193.5999		1
193.6999		2
193.7999		0
193.8999		0
193.9999		0
194.0999		0
194.1999		0
194.2999		0
194.3999		1
194.4999		0
194.5999		0
194.6999		0
194.7999		1
194.8999		0
194.9999		0
195.0999		0
195.1999		1
195.2999		1
195.3999		0
195.4999		0
195.5999		1
195.6999		1
195.7999		0
195.8999		1
195.9999		0
196.0999		0
196.1999		0
196.2999		1
196.3999		0
196.4999		1
196.5999		1
196.6999		2
196.7999		2
196.8999		2
196.9999		3
197.0999		4
197.1999		4
197.2999		4
197.3999		4
197.4999		4
197.5999		3
197.6999		3
197.7999		3
197.8999		4
197.9999		5
198.0999		6
198.1999		6
198.2999		6
198.3999		6
198.4999		6
198.5999		5
198.6999		4
198.7999		4
198.8999		5
198.9999		6
199.0999		6
199.1999		7
199.2999		6
199.3999		7
199.4999		7
199.5999		8
199.6999		8
199.7999		8
199.8999		8
199.9999		7
200.0999		7
200.1999		6
200.2999		5
200.3999		6
200.4999		6
200.5999		4
200.6999		4
200.7999		4
200.8999		3
200.9999		1
201.0999		1
201.1999		0
201.2999		0
201.3999		1
201.4999		0
201.5999		0
201.6999		1
201.7999		2
201.8999		4
201.9999		3
202.0999		3
202.1999		3
202.2999		3
202.3999		3
202.4999		4
202.5999		3
202.6999		2
202.7999		2
202.8999		3
202.9999		3
203.0999		3
203.1999		5
203.2999		6
203.3999		6
203.4999		4
203.5999		3
203.6999		2
203.7999		2
203.8999		3
203.9999		3
204.0999		2
204.1999		2
204.2999		2
204.3999		0
204.4999		0
204.5999		0
204.6999		0
204.7999		0
204.8999		1
204.9999		1
205.0999		2
205.1999		1
205.2999		0
205.3999		0
205.4999		0
205.5999		0
205.6999		0
205.7999		1
205.8999		1
205.9999		2
206.0999		2
206.1999		3
206.2999		3
206.3999		3
206.4999		2
206.5999		3
206.6999		4
206.7999		2
206.8999		2
206.9999		3
207.0999		3
207.1999		3
207.2999		2
207.3999		1
207.4999		0
207.5999		0
207.6999		0
207.7999		0
207.8999		0
